id,name,character,category,district,floor,price,feature
1,공룡 무드등,공룡,가전, A,1,6800,귀여운 공룡 무드등이예요. 인테리어 소품으로 귀엽고 은은하게~ 밝혀주는 공룡 무드등! 귀여운 공룡 무드등과 함께 꿀잠자세요!
2,포차코 스티커 미니북,포차코,문구,B,1,5000,포차코가 자그마한 스티커북 속으로 쏙! 다양한 테마의 귀엽고 깜찍한 포차코를 24장의 스티커에 담았어요. 포차코의 다양한 모습을 스티커 미니북으로 만나보세요.
3,잠만보 수면안대,잠만보,리빙,C,1,8800,보들보들한 벨보아 원단으로 만들어 포근한 착용감을 느낄 수 있습니다. 고무줄 밴드로 되어있어 편하게 착용할 수 있습니다.
4,포켓몬 쿨쿨 미니무드등,메타몽,가전,A,2,11900,지금 당장 무드등을 키고 포켓몬과 함께 꿈나라로 떠나봐요! 내가 잘 때 포켓몬이 옆에 같이 있어 줄 거예요. 빛의 세기가 은은하기에 충분히 편하게 잘 수 있습니다.
5,포켓몬 쿨쿨 미니무드등,이브이,가전,A,3,11900,지금 당장 무드등을 키고 포켓몬과 함께 꿈나라로 떠나봐요! 내가 잘 때 포켓몬이 옆에 같이 있어 줄 거예요. 빛의 세기가 은은하기에 충분히 편하게 잘 수 있습니다.
6,몰랑이 랜덤피규어,몰랑이,문구,B,2,5000,제주도에 몰랑이들이 산다면 어떤 모습일까요? 순수 국산 캐릭터인 몰랑이와 대표 관광지인 제주의 상징적인 이미지들이 결합하여 만난 뜻깊은 의미의 몰랑이 버전입니다.
7,짱구 에어팟 프로 젤리 케이스,짱구,디지털,D,1,16000,에어팟 프로 케이스는 부드러운 촉감과 충격에 강한 TPU 소재로 제작되어 일상 스크래치와 충격으로부터 안전하게 지켜줍니다. 에어팟 프로 전용 분리형 케이스로 완전하게 오픈이 가능하여 더욱 편리하고 안전하게 사용할 수 있습니다. 케이스 탈착없이 자유롭게 유무선 충전이 가능하며 오픈 충전 포트로 번거로움 없이 충전이 가능합니다.
8,잔망루피 에어팟 프로 하드 케이스,잔망루피,디지털,D,2,18800,충격보호. 무선충전 지원. 철가루 방지 스티커. 편리한 휴대성
9,산리오 마이멜로디 피규어 3색 볼펜,마이멜로디,문구,B,3,2500,깜찍한 마이멜로디 피규어가 장식되어 있는 3색 볼펜! 꼭 필요한 3컬러로만 담아 출시됐어요. 볼펜 위에는 완전 귀여운 마이멜로디가 앉아있답니다.
10,춘식이 오디너리 2025 형태 탁상 캘린더,춘식이,문구,B,4,5400,춘식이 형태 삼각대. 13개월 구성. 스프링 제본
11,푸린 블루투스 스피커,푸린,디지털,D,3,39900,귀여운 디자인. 블루투스 작동. 편리한 USB 작동.
12,카카오프렌즈 춘식이 미니 스텐 텀블러,춘식이,리빙,C,2,15900,패턴 디자인. 핸디 사이즈. 이중 진공 구조.
13,쿠로미 해피홈 가습기,쿠로미,리빙,C,3,20000,더블 미스트. 대용량. 언제 어디서나 가습. 조용함. 수분보습. 자동 건열 방지 기술. 원터치로 온오프
14,카카오프렌즈 춘식이 탁상용 무선 선풍기,춘식이/고양이,가전,A,4,25000,3단계 풍속조절. 편리한 휴대성. 편리한 180도 각도 조절 거치대. 초저소음 설계
15,헬로키티 투톤 실내 털슬리퍼,헬로키티,리빙,C,4,17600,따뜻하고 신축성 있음. PVC밑창 미끄럼 방지. 보들보들하고 귀여운 디자인
